star index,lambda,beta,mu lambda,mu beta,pi,Hwmag
0,4.645127298628604,-0.09678427012145603,3.853919028295111e-05,3.52756613467014e-05,3.659794865166279e-05,12.0
1,4.650135804756973,-0.09077964404587836,2.664507073212857e-05,4.007685458925098e-06,2.279729405917836e-05,12.0
2,4.643425896376195,-0.08846645423869412,4.7353900300147196e-05,1.6767538797000502e-05,1.547029645700171e-05,12.0
3,4.655956169377957,-0.10115267019928269,8.923038147699564e-06,9.429745708724275e-06,1.7350222680740863e-05,12.0
4,4.653490650111747,-0.08793830536360499,1.0541699604342509e-05,4.780503230583256e-05,2.7769983290053453e-05,12.0
5,4.658272699137774,-0.09046648343558071,8.021090498746692e-06,3.2427145406028655e-05,6.204664029422186e-06,12.0
6,4.64269087808431,-0.09781801845752956,3.867503510843905e-05,2.83078853646443e-05,9.632032799353669e-06,12.0
7,4.657229093621432,-0.08880028294486343,1.1861253146135204e-05,2.240962415911373e-05,3.1889990315704115e-05,12.0
8,4.658293422185319,-0.10249689537096486,2.7697580962204043e-05,4.842619972395065e-05,3.045501159395681e-05,12.0
9,4.655073744544989,-0.09121577256057134,2.5355651868113623e-05,1.4492764953434757e-05,2.9518728456912674e-05,12.0
10,4.651782972250704,-0.09872713194013268,4.270858278250336e-05,1.814994290413158e-05,2.4178194404295167e-05,12.0
11,4.655842781746319,-0.0905395582261457,4.452284771945312e-05,3.257533663304834e-05,1.2626645803375797e-05,12.0
12,4.657336935232956,-0.0888782359220086,3.5737181990381194e-05,3.8347895401679624e-05,2.5678948611434074e-05,12.0
13,4.651179239100235,-0.094561289502507,7.359432823292639e-06,3.379878423562355e-05,4.306705308212277e-05,12.0
14,4.645458513351253,-0.091582539662811,3.5309103018037985e-05,6.0501593045159175e-06,2.5360162489394324e-06,12.0
15,4.652951979083839,-0.10088684862393867,1.5492932321323683e-05,3.105866954343804e-05,3.254152603607377e-05,12.0
16,4.655620887759081,-0.09481308634865507,1.6687036475423594e-05,6.263638621432311e-07,5.7014962567079945e-06,12.0
17,4.645947866852707,-0.09556007213091786,3.6005315406496634e-05,1.0457283647337113e-05,1.949225169601141e-05,12.0
18,4.6588863057473535,-0.09772939511835106,3.566045207958536e-05,3.092421925876337e-05,3.298671381303378e-05,12.0
19,4.650887424419653,-0.09521547163667984,3.504171686069438e-05,8.056352678454087e-06,3.993769305716311e-05,12.0
20,4.657780699387584,-0.1038804489797158,9.906098967060934e-06,1.2439722998987464e-05,4.7169923927825655e-06,12.0
21,4.645028292191006,-0.09353903323881875,6.150497217326984e-06,3.3400214044555957e-06,4.7291586076181365e-05,12.0
22,4.649587829984384,-0.09529479745761986,2.3706275392512217e-05,1.71832616237793e-05,2.271089722350924e-05,12.0
23,4.645971778163801,-0.09461257751204483,1.2560918710292796e-05,7.266538525537086e-06,1.0434048931434038e-05,12.0
24,4.64977399460271,-0.08851189538242527,2.9893845047424424e-05,4.903831071745647e-05,2.0039272252012542e-05,12.0
25,4.647124886716596,-0.09233429139664788,9.523956562448383e-06,4.9903192388769134e-05,1.9527107832725484e-05,12.0
26,4.647315137606578,-0.09997983514176137,1.5223314627165548e-05,4.6835442269629395e-05,4.9609058284259565e-05,12.0
27,4.65230910333274,-0.10066358665074261,4.870216003377559e-07,3.999869234736975e-06,1.489899666759828e-05,12.0
