plate index,star index,x pixel,y pixel,lambda,beta,Hwmag,nphoton
0,0,4.862998e+01,4.860813e+01,999.000,999.000,12.0,999.0
0,1,1.479941e+02,4.904992e+01,999.000,999.000,12.0,999.0
0,2,2.454159e+02,4.883481e+01,999.000,999.000,12.0,999.0
0,3,3.423818e+02,4.883203e+01,999.000,999.000,12.0,999.0
0,4,4.416721e+02,4.906262e+01,999.000,999.000,12.0,999.0
0,5,5.375500e+02,4.877429e+01,999.000,999.000,12.0,999.0
0,6,6.375935e+02,4.929692e+01,999.000,999.000,12.0,999.0
0,7,7.344382e+02,4.895111e+01,999.000,999.000,12.0,999.0
0,8,8.336315e+02,4.956807e+01,999.000,999.000,12.0,999.0
0,9,9.314391e+02,4.834297e+01,999.000,999.000,12.0,999.0
0,10,1.028233e+03,4.863934e+01,999.000,999.000,12.0,999.0
0,11,1.127528e+03,4.814392e+01,999.000,999.000,12.0,999.0
0,12,1.225342e+03,4.733004e+01,999.000,999.000,12.0,999.0
0,13,1.322354e+03,4.676750e+01,999.000,999.000,12.0,999.0
0,14,1.423001e+03,4.906012e+01,999.000,999.000,12.0,999.0
0,15,1.519802e+03,4.816949e+01,999.000,999.000,12.0,999.0
0,16,1.615818e+03,4.824486e+01,999.000,999.000,12.0,999.0
0,17,1.714012e+03,4.841929e+01,999.000,999.000,12.0,999.0
0,18,1.813317e+03,4.941772e+01,999.000,999.000,12.0,999.0
0,19,1.911312e+03,4.956781e+01,999.000,999.000,12.0,999.0
0,20,4.827314e+01,1.476860e+02,999.000,999.000,12.0,999.0
0,21,1.482159e+02,1.479248e+02,999.000,999.000,12.0,999.0
0,22,2.450970e+02,1.499825e+02,999.000,999.000,12.0,999.0
0,23,3.421373e+02,1.472947e+02,999.000,999.000,12.0,999.0
0,24,4.406254e+02,1.471544e+02,999.000,999.000,12.0,999.0
0,25,5.388212e+02,1.448178e+02,999.000,999.000,12.0,999.0
0,26,6.354467e+02,1.453159e+02,999.000,999.000,12.0,999.0
0,27,7.341678e+02,1.491930e+02,999.000,999.000,12.0,999.0
0,28,8.311901e+02,1.497458e+02,999.000,999.000,12.0,999.0
0,29,9.307064e+02,1.474463e+02,999.000,999.000,12.0,999.0
